id,party_id,source_url,file_type,word_count,qc_method,qc_correct_term,qc_correct_municipality,qc_correct_party,qc_is_program,qc_notes,overall_quality,qc_escalated,not_found
db314f70-3a5d-411c-a0ba-d16765e629b5,0012c01b-f947-4802-8767-22c5fa9a9b69,https://media.d66.nl/uploads/sites/158/2026/02/Digitaal-HR_12022026_D66-Texel_partijprogramma.pdf,pdf,7707,text,True,True,True,True,The document explicitly states 'verkiezingsprogramma 2026' and the URL contains '2026'. The municipality 'Texel' and party 'D66' are clearly mentioned multiple times. The text is a comprehensive election program with detailed policy proposals.,pass,False,False
b06e2f2f-d1b2-46f2-8767-029f46aab9ec,0017cc74-e389-4bdb-a054-ed555e728a22,https://spa-sg.net/wp-admin/admin-ajax.php?action=get_viewer&#038;file=https%3A%2F%2Fspa-sg.net%2Fwp-content%2Fuploads%2F2026%2F02%2FVerkiezingsprogramma-SPA-2026-tot-2030-20-feb-2026.pdf&#038;scrolling=0&#038;selection_tool=0&#038;spreads=0#key=dGhlbWVNb2RlPWN1c3RvbSZ0b29sYmFyPXRydWUmcG9zaXRpb249dG9wJnByZXNlbnRhdGlvbj10cnVlJmxhenlMb2FkPWZhbHNlJmRvd25sb2FkPXRydWUmY29weV90ZXh0PXRydWUmYWRkX3RleHQ9ZmFsc2UmZHJhdz10cnVlJmFkZF9pbWFnZT1mYWxzZSZwZGZfcm90YXRpb249dHJ1ZSZwZGZfZGV0YWlscz1mYWxzZSZ6b29tX2luPXRydWUmem9vbV9vdXQ9dHJ1ZSZmaXRfdmlldz10cnVlJmJvb2ttYXJrPWZhbHNlJnNvdW5kPXRydWUmZmxpcGJvb2tfdG9vbGJhcl9wb3NpdGlvbj10b3Amc2VsZWN0aW9uX3Rvb2w9MCZzY3JvbGxpbmc9MCZzcHJlYWRzPTAmaXNfcHJvX2FjdGl2ZT0wJmN1c3RvbUNvbG9yPQ==&#038;zoom=page-width,html,214,text,True,True,True,False,"The provided text is not the election program itself, but rather a PDF viewer interface. The URL contains 'Verkiezingsprogramma-SPA-2026-tot-2030-20-feb-2026.pdf', which indicates the correct term, municipality, and party, but the actual content of the program is not present in the provided text snippet. Therefore, it cannot be confirmed as a program based on the text.",fail,False,False
6a4b69e8-78eb-4905-9d26-0e8dc65206e0,0039962a-5098-43e5-8c28-f2e59ab546c0,https://nsc-multisite.ams3.digitaloceanspaces.com/20260113_Eindhoven_verkiezingsprogramma_def_d8cecb6772.pdf,pdf,7004,text,True,True,True,True,The document explicitly states 'Concept-verkiezingsprogramma voor de gemeenteraadsverkiezingen op 18 maart 2026 in Eindhoven.' and is from 'NSC Eindhoven'. The URL also contains '20260113_Eindhoven_verkiezingsprogramma'. It is a detailed program with policy points.,pass,False,False
8c535f66-1c71-4aef-9385-db2ddd7f7338,003d75b3-05e6-4527-8f0c-fe3c52bc3a55,https://cdn.sp.nl/sites/16/zuid-holland/16/2026-GR-Verkiezingsprogramma-Leiden-dubbelblad.pdf,pdf,18251,text,True,True,True,True,"The document explicitly states 'VERKIEZINGSPROGRAMMA SP LEIDEN 2026 - 2030' on the first page and the URL contains '2026-GR-Verkiezingsprogramma-Leiden'. The party is clearly identified as SP Leiden and the municipality as Leiden. The text provides extensive policy positions, confirming it is a full program.",pass,False,False
34d1b70b-a4c8-401e-81fb-9f48d015a1a9,0041a7c8-abef-46dd-97e9-7efe1a7762da,https://lokaalalmelosamen.nl/wp-content/uploads/2026/02/LAS-verkiezingprogramma-lang-20260205.pdf,pdf,2134,text,True,True,True,True,The document explicitly states 'Verkiezingsprogramma Standpunten 2026 - 2030' on the second page and the URL contains '2026'. The party name 'Lokaal Almelo Samen' and municipality 'Almelo' are clearly stated. The text is a comprehensive election program with various policy points across different topics.,pass,False,False
1a225847-e1fb-4002-bc01-7d6b4f0fe97f,00457e45-de66-4934-be3b-98cfc66f39c5,https://inwonersbelangen.nl/wp-content/uploads/2026/01/Verkiezingsprogramma-Inwonersbelangen-2026-download-versie-1.pdf,pdf,14126,text,True,True,True,True,"The document explicitly states 'Verkiezingsprogramma Gemeenteraad 18 maart 2026' and 'verkiezingsprogramma 2026 – 2030'. The party name 'Inwonersbelangen' and municipality 'Woerden' are clearly stated. The text contains a table of contents and detailed policy proposals, confirming it is a program.",pass,False,False
5bd7a68b-02cd-435a-9961-baddf9f442fc,00549ec5-da60-4db6-b43d-54d19324bef3,https://res.cloudinary.com/fvdcdm/image/upload/v1759824498/FVD_verkiezingsprogramma-2025_A4_FORMAAT_digitaal-DEF-V5_t8qcsr.pdf,pdf,23610,text,True,True,True,True,"The document explicitly mentions 'Woensdag 29 oktober 2025 biedt een nieuwe kans voor Nederland', indicating it's for the upcoming election cycle. The URL also contains 'FVD_verkiezingsprogramma-2025', further confirming the term. The municipality 'Hoogeveen' is mentioned in the prompt and the party 'Forum voor Democratie' is clearly stated. The text is a comprehensive election program with multiple policy points.",pass,False,False
b39216f1-e2b5-463d-9741-bad28f3cd18e,0086b4af-177c-47fc-9951-c5aa857b5863,https://zwartewaterland.christenunie.nl/wp-content/uploads/sites/71/2026/02/verkiezingsprogramma-GR-26-definitief.pdf,pdf,4665,text,True,True,True,True,"The document explicitly states 'GEMEENTERAADSVERKIEZINGEN 2026' and mentions 'het najaar van 2025 als we dit programma vaststellen', confirming it's for the 2026 election. The municipality 'Zwartewaterland' and party 'ChristenUnie' are clearly stated multiple times. The content is structured as a comprehensive election program with an introduction, chapters on various policy areas, and specific policy points.",pass,False,False
923d9d33-d376-48c3-8230-87b2fe6df876,008e4b17-d2e2-466c-84b2-f8aebe5e07fe,https://oosterhout.groenlinkspvda.nl/wp-content/uploads/2026/02/A5_programma_2026_web.pdf,pdf,10148,text,True,True,True,True,"The URL contains '2026' and the text explicitly states 'Voor u ligt het eerste verkiezingsprogramma van GroenLinks-PvdA Oosterhout.' and mentions 'A5_programma_2026_web.pdf' in the URL, confirming the term. The municipality 'Oosterhout' and party 'GroenLinks-PvdA' are clearly stated. The document is structured as a comprehensive election program with multiple policy sections.",pass,False,False
aab63618-ada9-4049-93f5-508708f66c38,00912295-de81-40d4-b5ea-f3df2a799b30,https://d2vs36cx04qmpo.cloudfront.net/images/vught/Brochure-en-VP/Verkiezingsprogramma-2026.pdf,pdf,4141,text,True,True,True,True,"The text explicitly states 'Gemeenteraadsverkiezingen 18 maart 2026' and the URL contains '2026'. The municipality 'Vught' is clearly mentioned, along with 'CDA' as the party. The document is structured as a typical election program with various policy sections.",pass,False,False
